route_key,final_seatcount
2025-02-11_46_45,3874
2025-01-20_17_23,1481
2025-01-08_02_14,1245
2025-01-08_08_47,1032
2025-01-08_09_46,3568
2025-01-21_45_05,1340
2025-02-26_47_08,1438
2025-01-03_02_19,2232
2025-02-11_02_30,1702
2025-01-25_05_45,2019
2025-02-04_36_07,1536
2025-01-28_02_14,1209
2025-01-14_47_46,1926
2025-02-04_02_16,1467
2025-02-20_47_43,2669
2025-01-03_19_30,2034
2025-02-27_22_36,1545
2025-02-10_47_08,1225
2025-01-27_47_02,1630
2025-01-27_22_36,1599
2025-01-10_36_27,1430
2025-02-11_46_15,1438
2025-02-28_42_45,1818
2025-01-22_30_02,1618
2025-01-17_09_46,5841
2025-01-29_46_48,3760
2025-02-27_11_36,2694
2025-02-19_48_45,1566
2025-01-27_23_13,1810
2025-01-14_28_45,3057
2025-01-27_46_18,1442
2025-02-14_47_05,4781
2025-02-20_17_23,1320
2025-02-07_23_13,2066
2025-01-27_36_12,1711
2025-01-11_16_02,1589
2025-02-04_46_33,904
2025-01-11_48_46,3229
2025-01-24_16_02,1451
2025-01-12_23_13,2074
2025-02-07_46_18,2945
2025-02-26_09_46,4054
2025-02-07_47_05,4538
2025-01-18_36_22,1553
2025-02-07_02_01,1558
2025-01-01_46_26,1766
2025-02-08_26_46,1950
2025-01-09_46_44,4444
2025-01-04_02_21,1559
2025-02-08_27_36,1937
2025-01-03_05_47,2665
2025-01-09_26_46,1461
2025-01-14_20_46,1522
2025-02-25_13_23,1657
2025-02-04_45_34,1601
2025-01-20_05_45,3388
2025-02-15_46_15,1851
2025-01-16_19_02,1679
2025-01-07_22_36,1400
2025-01-21_32_19,1988
2025-02-13_32_19,1954
2025-02-27_02_40,2068
2025-02-22_45_42,1838
2025-01-05_35_46,4692
2025-01-16_26_46,2044
2025-02-09_13_23,2969
2025-01-24_39_45,1620
2025-01-13_36_27,1179
2025-02-09_45_47,5210
2025-01-21_26_46,1737
2025-02-08_45_05,1816
2025-02-03_35_46,3329
2025-01-03_19_02,2780
2025-02-06_36_12,2167
2025-02-04_37_36,2914
2025-01-28_45_44,1102
2025-02-18_46_15,1108
2025-02-10_45_46,4601
2025-01-13_02_21,1305
2025-02-23_02_30,3284
2025-02-22_09_45,2953
2025-02-12_30_14,1436
2025-02-27_41_36,2108
2025-01-05_45_47,5313
2025-02-18_46_26,1498
2025-01-11_36_22,1496
2025-02-12_02_01,1386
2025-02-13_17_23,1220
2025-02-08_09_45,3323
2025-02-17_45_05,1483
2025-01-03_36_27,1367
2025-02-14_37_36,3772
2025-01-15_12_36,2045
2025-01-26_02_01,1433
